url,score
https://www.straitstimes.com/singapore/authorities-rule-out-cyber-attack-as-cause-of-starhubs-2016-broadband-disruption,6
https://www.straitstimes.com/tech/starhub-cyber-attacks-behind-broadband-outages,4
https://www.straitstimes.com/singapore/plan-in-the-works-to-boost-cyber-security-in-telecoms-sector,5
https://www.straitstimes.com/singapore/singapore-smes-taking-risk-of-cyber-attacks-too-lightly-experts,7
https://www.straitstimes.com/singapore/the-big-task-instilling-a-culture-of-taking-cyber-security-seriously,4
https://www.straitstimes.com/world/firms-cant-leave-their-cyber-defence-to-tech-dept-iswaran,4
https://www.straitstimes.com/politics/ihis-singhealth-fined-1m-new-cyber-security-steps-taken,4
https://www.straitstimes.com/politics/11-critical-sectors-to-beef-up-cyber-security,4
https://www.straitstimes.com/tech/starhub-cyber-attacks-that-caused-broadband-outages-came-from-customers-infected-machines,4
https://www.straitstimes.com/tech/starhub-broadband-disruption-due-to-spike-in-traffic-that-jammed-its-domain-name-servers,6
https://www.straitstimes.com/world/united-states/major-cyber-attack-disrupts-internet-traffic-on-us-east-coast,6
https://www.straitstimes.com/singapore/11-critical-sectors-told-to-review-cyber-security,4
https://www.straitstimes.com/singapore/coi-on-singhealth-cyber-attack-change-the-way-security-incidents-are-reported-says-csa,4
https://www.straitstimes.com/singapore/coi-on-cyber-attack-more-will-be-done-to-deepen-cyber-security-awareness-of-singhealth,4
https://www.straitstimes.com/singapore/coi-on-singhealth-cyber-attack-american-expert-calls-for-collective-defence-against-cyber,5
https://www.straitstimes.com/opinion/csas-game-plan-to-boost-cyber-security,4
https://www.straitstimes.com/world/united-states/us-cyber-attacks-have-escalated-recently-underlying-problem-hard-to-solve,6
https://www.straitstimes.com/opinion/singhealth-breach-may-give-privacy-new-life,4
https://www.straitstimes.com/singapore/coi-on-singhealth-cyber-attack-new-chat-evidence-shows-bottleneck-in-reporting,5
https://www.straitstimes.com/world/united-states/paypal-says-some-customers-unable-to-make-payments-due-to-cyber-attack-on-dyn,5
